2017/07/19 12:38:41 [error] 225#225: *32 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at ./llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:38:41 [error] 225#225: *34 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at ./llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:38:41 [error] 225#225: *36 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at ./llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:40:42 [error] 225#225: *38 connect() to unix:/usr/local/run/llng-fastcgi.sock failed (111: Connection refused) while connecting to upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:40:42 [error] 225#225: *40 connect() to unix:/usr/local/run/llng-fastcgi.sock failed (111: Connection refused) while connecting to upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:40:42 [error] 225#225: *42 connect() to unix:/usr/local/run/llng-fastcgi.sock failed (111: Connection refused) while connecting to upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:40:42 [error] 225#225: *44 connect() to unix:/usr/local/run/llng-fastcgi.sock failed (111: Connection refused) while connecting to upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:40:43 [error] 225#225: *46 connect() to unix:/usr/local/run/llng-fastcgi.sock failed (111: Connection refused) while connecting to upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:40:43 [error] 225#225: *48 connect() to unix:/usr/local/run/llng-fastcgi.sock failed (111: Connection refused) while connecting to upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:40:43 [error] 225#225: *50 connect() to unix:/usr/local/run/llng-fastcgi.sock failed (111: Connection refused) while connecting to upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:40:43 [error] 225#225: *52 connect() to unix:/usr/local/run/llng-fastcgi.sock failed (111: Connection refused) while connecting to upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:40:43 [error] 225#225: *54 connect() to unix:/usr/local/run/llng-fastcgi.sock failed (111: Connection refused) while connecting to upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:40:44 [error] 225#225: *56 connect() to unix:/usr/local/run/llng-fastcgi.sock failed (111: Connection refused) while connecting to upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:40:44 [error] 225#225: *58 connect() to unix:/usr/local/run/llng-fastcgi.sock failed (111: Connection refused) while connecting to upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:40:54 [error] 225#225: *60 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at ./llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:40:55 [error] 225#225: *62 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at ./llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:40:55 [error] 225#225: *64 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at ./llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:40:55 [error] 225#225: *66 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at ./llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:40:55 [error] 225#225: *68 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at ./llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:41:15 [error] 225#225: *70 connect() to unix:/usr/local/run/llng-fastcgi.sock failed (111: Connection refused) while connecting to upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:41:16 [error] 225#225: *72 connect() to unix:/usr/local/run/llng-fastcgi.sock failed (111: Connection refused) while connecting to upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:41:54 [error] 225#225: *74 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at ./llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:41:55 [error] 225#225: *76 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at ./llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:41:55 [error] 225#225: *78 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at ./llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:49:32 [error] 225#225: *80 connect() to unix:/usr/local/run/llng-fastcgi.sock failed (111: Connection refused) while connecting to upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:49:33 [error] 225#225: *82 connect() to unix:/usr/local/run/llng-fastcgi.sock failed (111: Connection refused) while connecting to upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:49:59 [error] 225#225: *84 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at /usr/local/lemonldap-ng/sbin/llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:49:59 [error] 225#225: *86 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at /usr/local/lemonldap-ng/sbin/llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:50:00 [error] 225#225: *88 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at /usr/local/lemonldap-ng/sbin/llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:50:00 [error] 225#225: *90 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at /usr/local/lemonldap-ng/sbin/llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:50:41 [error] 225#225: *92 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at /usr/local/lemonldap-ng/sbin/llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:50:41 [error] 225#225: *94 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at /usr/local/lemonldap-ng/sbin/llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:50:42 [error] 225#225: *96 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at /usr/local/lemonldap-ng/sbin/llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
2017/07/19 12:50:42 [error] 225#225: *98 FastCGI sent in stderr: "Can't use an undefined value as a subroutine reference at /usr/local/lemonldap-ng/sbin/llng-fastcgi-server line 92" while reading response header from upstream, client: 172.18.0.2, server: sso.tiredofit.ca, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/usr/local/run/llng-fastcgi.sock:", host: "sso.tiredofit.ca"
